title,description,file_name,file_type,file_size_kb
Nội quy CLB Tình nguyện DNTU Long Khánh,"Tài liệu quy định chung về mục tiêu, nhiệm vụ và quyền hạn của các thành viên trong Câu lạc bộ Tình nguyện thuộc Đại học Công nghệ Đồng Nai tại Long Khánh. Nó cũng nêu rõ các nguyên tắc hoạt động và quy trình tham gia các dự án cộng đồng.",NoiQuyCLBTinhNguyenDNTU_LongKhanh.pdf,application/pdf,350
Biên bản họp CLB Tiếng Anh DNTU - Tháng 10/2023,"Tóm tắt nội dung cuộc họp định kỳ của Câu lạc bộ Tiếng Anh Đại học Công nghệ Đồng Nai vào tháng 10 năm 2023. Biên bản ghi lại các quyết định quan trọng, kế hoạch hoạt động sắp tới và phân công nhiệm vụ cho các thành viên.",BienBanHopCLBTiengAnhDNTU_T10_2023.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,210
Mẫu Đơn Đăng Ký Tham Gia Hoạt Động Thể Thao Sinh Viên Long Khánh,Biểu mẫu chuẩn dùng cho sinh viên các trường đại học/cao đẳng tại Long Khánh khi muốn đăng ký tham gia các giải đấu hoặc hoạt động thể thao. Mẫu đơn yêu cầu thông tin cá nhân và lựa chọn môn thể thao.,MauDonDangKyHoatDongTheThaoSV_LK.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,180
Kế hoạch hoạt động CLB Sách và Văn hóa đọc DNTU - Học kỳ I 2023-2024,"Tài liệu chi tiết về các sự kiện, buổi thảo luận sách và hoạt động văn hóa đọc của Câu lạc bộ Sách và Văn hóa đọc Đại học Công nghệ Đồng Nai trong học kỳ đầu năm học 2023-2024. Kế hoạch bao gồm lịch trình, địa điểm và mục tiêu cụ thể.",KeHoachHoatDongCLBSachDNTU_HK1_23_24.pdf,application/pdf,600
Biên bản họp Ban Chấp hành Đoàn trường DNTU - Tháng 11/2023,"Biên bản ghi nhận nội dung cuộc họp của Ban Chấp hành Đoàn trường Đại học Công nghệ Đồng Nai vào tháng 11 năm 2023. Tài liệu tóm tắt các quyết định về công tác Đoàn, phong trào thanh niên và các chương trình sắp tới.",BienBanBCHDoanTruongDNTU_T11_2023.pdf,application/pdf,280
Mẫu Báo Cáo Hoạt Động CLB Sinh Viên Long Khánh,"Biểu mẫu chuẩn được thiết kế để các câu lạc bộ sinh viên tại Long Khánh sử dụng khi báo cáo định kỳ về các hoạt động đã thực hiện. Mẫu bao gồm các mục về mục tiêu, kết quả đạt được, số liệu thống kê và khó khăn, đề xuất.",MauBaoCaoHoatDongCLBSV_LongKhanh.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,150
Nội quy CLB Nghệ thuật Trường Đại học Lâm nghiệp (cơ sở 2),"Tài liệu quy định chi tiết về tổ chức, quyền lợi và nghĩa vụ của thành viên Câu lạc bộ Nghệ thuật tại cơ sở 2 Đại học Lâm nghiệp. Nội quy nhằm tạo môi trường thuận lợi để sinh viên phát triển tài năng và đam mê nghệ thuật.",NoiQuyCLBNgheThuat_DHLamNghiepCS2.pdf,application/pdf,420
Biên bản họp Phân đoàn Kỹ thuật Công trình - DNTU - Tháng 9/2023,"Tóm tắt cuộc họp của phân đoàn Kỹ thuật Công trình thuộc Đoàn trường Đại học Công nghệ Đồng Nai vào tháng 9 năm 2023. Biên bản ghi lại các thảo luận về dự án học thuật, hoạt động ngoại khóa và kế hoạch hỗ trợ sinh viên.",BienBanHopPhanDoanKTCT_DNTU_T9_2023.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,195
Mẫu Giấy Đề Nghị Tổ Chức Sự Kiện Sinh Viên Tại Long Khánh,"Biểu mẫu chính thức để sinh viên hoặc các câu lạc bộ đề xuất tổ chức các sự kiện tại các địa điểm công cộng hoặc trong khuôn viên trường tại Long Khánh. Mẫu yêu cầu thông tin chi tiết về sự kiện, mục tiêu và nguồn lực.",MauGiayDeNghiToChucSuKienSV_LK.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,220
Danh sách thành viên CLB Môi trường DNTU - Cập nhật 2023,"Tài liệu chứa danh sách chi tiết các thành viên hiện tại của Câu lạc bộ Môi trường Đại học Công nghệ Đồng Nai. Danh sách bao gồm thông tin liên hệ, vai trò trong câu lạc bộ và ngày tham gia, được cập nhật đến năm 2023.",DanhSachThanhVienCLBMoiTruongDNTU_2023.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,170
